,actorId,name,actorImgUrl,known,contentId
0,1253360,Pedro Pascal,https://image.tmdb.org/t/p/w185/nms0d0ExYtiOke82oqr3vOb3smF.jpg,"['만달로리안', '더 라스트 오브 어스', '더 이퀄라이저 2']","[82856, 100088, 345887]"
1,976,Jason Statham,https://image.tmdb.org/t/p/w185/lldeQ91GwIVff43JBrpdbAAeYWj.jpg,"['스내치', '메가로돈', '분노의 질주: 더 익스트림']","[107, 345940, 337339]"
2,58021,Tinto Brass,https://image.tmdb.org/t/p/w185/80Uuq79rcYL1FgBPHAEHzAACQFa.jpg,"['칼리귤라', '열쇠', '파프리카']","[9453, 28468, 50270]"
3,31,Tom Hanks,https://image.tmdb.org/t/p/w185/xndWFsBlClOJFRdhSt4NBwiPq2o.jpg,"['포레스트 검프', '토이 스토리', '그린 마일']","[13, 862, 497]"
4,3194176,Angeli Khang,https://image.tmdb.org/t/p/w185/7vrTWF8PxQogF6o9ORZprYQoDOr.jpg,"['Silip Sa Apoy', ""Selina's Gold"", 'Eva']","[931599, 1029446, 893694]"
5,1907997,Min Do-yoon,https://image.tmdb.org/t/p/w185/bHHn3krbHyxQIWb4JbHkPlV6Uu1.jpg,"['여선생 3', '옆방에 일본여자가 싼다']","[685090, 725405]"
6,974169,Jenna Ortega,https://image.tmdb.org/t/p/w185/y24GIGVUydumoXidZVSgzWSclWZ.jpg,"['웬즈데이', 'X', '스크림']","[119051, 760104, 646385]"
7,1795607,Jahi Di'Allo Winston,https://image.tmdb.org/t/p/w185/x13w2XYkCdjllsbrzyb1aKno27o.jpg,"['참 시티 킹스', '프라우드 메리', '업사이드']","[552532, 442064, 440472]"
8,2710789,Seung Ha,https://image.tmdb.org/t/p/w185/8dCFK8FDFQbYFZvzAE9IIeaDMKo.jpg,"['18금 아이돌 승하의 섹스 스캔들', '아이돌 승하의 19금 AV를 찍자', '18금 아이돌 승하의 화려한 외출']","[724106, 852370, 724108]"
9,1642789,Madelyn Cline,https://image.tmdb.org/t/p/w185/qUUfTmpZPhy4zIs8oVk7OINLQqu.jpg,"['나이브스 아웃: 글래스 어니언', '아우터 뱅크스', '보이 이레이즈드']","[661374, 100757, 472451]"
10,75341,Gary Coleman,https://image.tmdb.org/t/p/w185/77YIEd2tastsT3fjEraKOjCvgyD.jpg,"[""Diff'rent Strokes"", '못말리는 해결사', '심슨 가족']","[2410, 14577, 456]"
11,1972974,Isabel May,https://image.tmdb.org/t/p/w185/9AT39NSHNQ44VebDrqupxplmyLK.jpg,"['1883', '알렉사 & 케이티', '더 테러 라이브: 스쿨 어택']","[118357, 76874, 629017]"
12,6161,Jennifer Connelly,https://image.tmdb.org/t/p/w185/opBts8lC3ZhK4BQwl8ztczehsFQ.jpg,"['뷰티풀 마인드', '레퀴엠', '노아']","[453, 641, 86834]"
13,1136406,Tom Holland,https://image.tmdb.org/t/p/w185/bBRlrpJm9XkNSg0YT5LCaxqoFMX.jpg,"['스파이더맨: 홈커밍', '스파이더맨: 노 웨이 홈', '스파이더맨: 파 프롬 홈']","[315635, 634649, 429617]"
14,1186625,Bobby Kolli,https://image.tmdb.org/t/p/w185/b0vOz06sawC4MQ4pdg0JboXqqTk.jpg,"['జై లవ కుశ', 'పవర్', 'సర్దార్ గబ్బర్ సింగ్']","[101736, 292139, 371811]"
15,115440,Sydney Sweeney,https://image.tmdb.org/t/p/w185/afr2eoktU4lFYtmtfKo05EbQdXo.jpg,"['유포리아', '더 보이어즈', '원스 어폰 어 타임 인… 할리우드']","[85552, 645710, 466272]"
16,6193,Leonardo DiCaprio,https://image.tmdb.org/t/p/w185/wo2hJpn04vbtmh0B9utCFdsQhxM.jpg,"['인셉션', '타이타닉', '셔터 아일랜드']","[27205, 597, 11324]"
17,2948828,AJ Raval,https://image.tmdb.org/t/p/w185/2JMxcjkUc5SPrj8P9GCFQev4pbm.jpg,"['Hugas', 'Us X Her', 'Kaliwaan']","[926612, 1041896, 957691]"
18,1373737,Florence Pugh,https://image.tmdb.org/t/p/w185/f8e41Oon18FiEZr4zgyJDVUqOeh.jpg,"['미드소마', '블랙 위도우', '작은 아씨들']","[530385, 497698, 331482]"
19,2359226,Aya Asahina,https://image.tmdb.org/t/p/w185/zF3la0KvayUV3uACYPiBgCRIQcI.jpg,"['아리스 인 보더랜드', '그랑블루', '런웨이 24']","[110316, 677602, 91414]"
20,131,Jake Gyllenhaal,https://image.tmdb.org/t/p/w185/rJdYHYNhlcOBwbPvDZVvt1xw7bi.jpg,"['도니 다코', '나이트 크롤러', '조디악']","[141, 242582, 1949]"
21,3197,Tom Sizemore,https://image.tmdb.org/t/p/w185/cXikL7I0e2geGVvcM2RT8gQq3Nb.jpg,"['라이언 일병 구하기', '히트', '진주만']","[857, 949, 676]"
22,1668004,Bella Ramsey,https://image.tmdb.org/t/p/w185/wbVOq34tJXME1rK6cHSlq6FjNV3.jpg,"['더 라스트 오브 어스', '왕좌의 게임', '꼴찌 마녀 밀드레드']","[100088, 1399, 69581]"
23,3371806,Rob Guinto,https://image.tmdb.org/t/p/w185/gYs7kSFwr89BOHG2rxEOet17C2y.jpg,"['X-Deal 2', 'Bula', 'High (School) On Sex']","[949977, 1014840, 203906]"
24,135651,Michael B. Jordan,https://image.tmdb.org/t/p/w185/4vXkRCbrquoP5Lrb4px7tubDLMC.jpg,"['블랙 팬서', '크리드', '크리드 2']","[284054, 312221, 480530]"
25,224513,Ana de Armas,https://image.tmdb.org/t/p/w185/vkoSSVrGxFYvtr2uUdz99ENXF1v.jpg,"['블레이드 러너 2049', '나이브스 아웃', '워 독']","[335984, 546554, 308266]"
26,2919104,Francisca Estevez,https://image.tmdb.org/t/p/w185/oN1ACdeT7TiYPfn9bT5L3PNULvs.jpg,"['프라미싱 영 우먼', 'La nieta elegida', '라 프리메라 베스']","[582014, 135023, 219063]"
27,1892,Matt Damon,https://image.tmdb.org/t/p/w185/At3JgvaNeEN4Z4ESKlhhes85Xo3.jpg,"['마션', '굿 윌 헌팅', '본 아이덴티티']","[286217, 489, 2501]"
